idx,name,description,label,software
0,file,Specifies the path of the server log file for logging. ,debuggability,aerospike
1,context,Specifies the context and level of logging to be logged.,debuggability,aerospike
2,cache-enabled,"Whether to enable caching of Lua states for each registered Lua module, to benefit performance.",performance,aerospike
3,user-path,Directory to be used by the Aerospike process to store user generated UDF files,environment,aerospike
4,allow-nonxdr-writes,Parameter to control the writes done by a non-XDR client. Setting it to false will disallow all the writes from a nonXDR client (any regular client library). ,security,aerospike
5,allow-xdr-writes,Parameter to control whether to accept write transactions originating from an XDR client.,security,aerospike
6,cold-start-evict-ttl,This sets the TTL below which records will be evicted (will not be loaded) during coldstart. ,reliability,aerospike
7,data-in-index,"Optimization in single bin case, will only allow integer or float stored in index space. ",performance,aerospike
8,default-ttl,Default time-to-live (in seconds) for a record from the time of creation or last update. ,reliability,aerospike
9,disable-cold-start-eviction,"If true, disables eviction that may occur at cold start for this namespace only.",reliability,aerospike
10,disable-nsup,"If true , disables NSUP primary index reductions for this namespace only. ",performance,aerospike
11,disable-write-dup-res,Disables write duplicate resolution for the namespace. ,performance,aerospike
12,enable-benchmarks-batch-sub,Enable histograms for batch sub transactions.,debuggability,aerospike
13,enable-benchmarks-fabric,Enable histograms for fabric. ,debuggability,aerospike
14,enable-benchmarks-read,Enable histograms for read transactions. ,debuggability,aerospike
15,enable-benchmarks-storage,Enable histograms for storage access.,debuggability,aerospike
16,enable-benchmarks-svc,Enable histograms for demarshal and transaction queue related operations. ,debuggability,aerospike
17,enable-benchmarks-udf,Enable histograms for udf transactions.,debuggability,aerospike
18,enable-benchmarks-udf-sub,Enable histograms for udf sub transactions. ,debuggability,aerospike
19,enable-benchmarks-write,Enable histograms for write transactions.,debuggability,aerospike
20,enable-hist-info,Enable histograms for info protocol transactions.,debuggability,aerospike
21,enable-hist-proxy,Enable histograms for proxy transactions. ,debuggability,aerospike
22,enable-xdr,"This controls, at the namespace level, whether digest log entries are being written to the digest log.",debuggability,aerospike
23,evict-hist-buckets,Number of histogram buckets used for evictions. ,performance,aerospike
24,evict-tenths-pct,Maximum 1/10th percentage of objects to be deleted during each iteration of eviction.,reliability,aerospike
25,high-water-disk-pct,Data will be evicted if the disk utilization is greater than this specified percentage.,reliability,aerospike
26,high-water-memory-pct,Data will be evicted if the memory utilization is greater than this specified percentage.,reliability,aerospike
27,max-ttl,Maximum TTL allowed in the server. ,reliability,aerospike
28,memory-size,Maximum amount of memory for the namespace. ,reliability,aerospike
29,migrate-order,Number between 1 and 10 which determines the order namespaces are to be processed when migrating,others,aerospike
30,migrate-retransmit-ms,"How long to wait for success, in milliseconds, before retrying a migration related transaction. ",reliability,aerospike
31,migrate-sleep,Number of microseconds to sleep after each record migration. ,reliability,aerospike
32,ns-forward-xdr-writes,This parameter provides fine grained control at namespace level to forward writes that originated from another XDR to the specified destination datacenters (in xdr section). ,reliability,aerospike
33,partition-tree-sprigs,Number of tree sprigs to use.  Providing more trees (sprigs) reduces the number of levels and speeds up the search.,performance,aerospike
34,prefer-uniform-balance,"If true, this namespace will make an effort to distribute partitions evenly to all nodes. ",performance,aerospike
35,read-consistency-level-override,"When set to a non-default value, overrides the client-specified per-transaction read consistency level for this namespace. ",performance,aerospike
36,replication-factor,Number of copies of a record (including the master copy) maintained in the entire cluster.,reliability,aerospike
37,sets-enable-xdr,Specifies whether XDR should ship all sets in a namespace or not.,reliability,aerospike
38,single-bin,Setting it true will disallow multiple bin (columns) for a record.,others,aerospike
39,stop-writes-pct,"Disallow writes (except deletes, replica writes and migration writes) when memory utilization (tracked under memory_used_bytes ) is above this specified percentage.",reliability,aerospike
40,strong-consistency,Set the namespace to Strong Consistency mode to favor consistency over availability. ,reliability,aerospike
41,strong-consistency-allow-expunge,"When set to true , allows non-durable deletes to be used with strong-consistency .",reliability,aerospike
42,tomb-raider-eligible-age,Number of seconds to retain a tombstone,reliability,aerospike
43,tomb-raider-period,"Minimum amount of time, in seconds, between tomb-raider runs. ",reliability,aerospike
44,transaction-pending-limit,Maximum pending transactions that can be queued up to work on the same key.,reliability,aerospike
45,write-commit-level-override,"When set to a non-default value, overrides the client-specified per-transaction write commit level for this namespace.",reliability,aerospike
46,xdr-remote-datacenter,Name of the datacenter to forward this namespace to,others,aerospike
47,max-cells,Sets the maximum desired number of cells in the approximation. ,reliability,aerospike
48,max-level,Maximum depth to go for a single cell,reliability,aerospike
49,mount,Path to the mount directory (typically on NVMe SSD).,environment,aerospike
50,mounts-high-water-pct,Data will be evicted if the mount's utilization is greater than this specified percentage,reliability,aerospike
51,mounts-size-limit,Maximum amount of device space for the mount(s) on this namespace. ,reliability,aerospike
52,set-enable-xdr,Set-specific parameter to enable/disable shipping through XDR,reliability,aerospike
53,cold-start-empty,Setting this to true will cause cold start to ignore existing data on drives and start as if empty. Does not affect warm start.,others,aerospike
54,commit-to-device,Wait for write to flush to disk before acknowledging the client. ,reliability,aerospike
55,compression,"Use of this item requires a feature-key-file , and specifies the algorithm used to compress records on SSD.",performance,aerospike
56,compression-level,The compression level to use with zstd compression. A higher level means more but slower compression. ,performance,aerospike
57,data-in-memory,Keep a copy of all data in memory always.,reliability,aerospike
58,defrag-queue-min,Don't defrag unless the queue has this many eligible wblocks.,performance,aerospike
59,defrag-sleep,Number of microseconds to sleep after each wblock defragged.,reliability,aerospike
60,device,Raw device used to store the namespace.,environment,aerospike
61,direct-files," If direct-files is set true , then the odirect and odsync flags are enabled for file IO. ",reliability,aerospike
62,enable-osync,Tells the device to flush on every write. This may impact performance. ,performance,aerospike
63,encryption,Specifies the algorithm used by encryption at rest. ,security,aerospike
64,encryption-key-file,Enables encryption at rest by providing the location of the encryption key file.,security,aerospike
65,file,Data file path on rotational disk (using a file system).,environment,aerospike
66,filesize,Maximum size for each file storage defined in this namespace.,reliability,aerospike
67,flush-max-ms,Configures the maximum amount of time that a Streaming Write Buffer (SWB) can go without being written to device. ,reliability,aerospike
68,max-write-cache,Number of bytes (should be multiple of write-block-size) the system is allowed to keep pending write blocks before failing writes.,performance,aerospike
69,post-write-queue,Write block buffers to keep as cache (per device). ,performance,aerospike
70,read-page-cache,This allows the OS to leverage page cache and can help with latencies for some workload types. ,performance,aerospike
71,tomb-raider-sleep,Number of microseconds to sleep in between large block reads on disk. ,reliability,aerospike
72,write-block-size,Size in bytes of each I/O block that is written to the disk. ,performance,aerospike
73,channel-bulk-fds,Number of bulk channel sockets to open to each neighbor node. ,performance,aerospike
74,channel-bulk-recv-threads,Number of threads processing intra-cluster messages arriving through the bulk channel.,performance,aerospike
75,channel-meta-recv-threads,Number of threads processing intra-cluster messages arriving through the meta channel. ,performance,aerospike
76,channel-rw-fds,Number of read/write channel sockets to open to each neighbor node. ,performance,aerospike
77,channel-rw-recv-threads,Number of threads processing intra-cluster messages arriving through the rw (read/write) channel.,performance,aerospike
78,keepalive-enabled,Enables the nodes to send keep-alive messages to each other,reliability,aerospike
79,keepalive-intvl,Interval in seconds between successive keep-alive packets.,reliability,aerospike
80,keepalive-time,Time in seconds from the last user data packet sent on the socket before sending the first keep-alive packet.,reliability,aerospike
81,port,Port for inter-node communication within a cluster.,environment,aerospike
82,send-threads,Number of intra-node send threads to be used. ,performance,aerospike
83,address,IP address for cluster-state heartbeat communication for mesh.,environment,aerospike
