software,name,value,description,label
hadoop-common,hadoop.common.configuration.version,0.23.0,version of this configuration file,environment
hadoop-common,hadoop.tmp.dir,/tmp/hadoop-${user.name},A base for other temporary directories.,environment
hadoop-common,io.native.lib.available,TRUE,Controls whether to use native libraries for bz2 and zlib compression codecs or not. The property does not control any other native libraries.,environment
hadoop-common,hadoop.http.filter.initializers,org.apache.hadoop.http.lib.StaticUserWebFilter,"A comma separated list of class names. Each class in the list must extend org.apache.hadoop.http.FilterInitializer. The corresponding Filter will be initialized. Then, the Filter will be applied to all user facing jsp and servlet web pages. The ordering of the list defines the ordering of the filters.",manageability
hadoop-common,hadoop.security.authorization,FALSE,Is service-level authorization enabled?,security
hadoop-common,hadoop.security.instrumentation.requires.admin,FALSE,"Indicates if administrator ACLs are required to access instrumentation servlets (JMX, METRICS, CONF, STACKS).",security
hadoop-common,hadoop.security.authentication,simple,"Possible values are simple (no authentication), and kerberos",security
hadoop-common,hadoop.security.group.mapping,org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback,"Class for user to group mapping (get groups for a given user) for ACL. The default implementation, org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback, will determine if the Java Native Interface (JNI) is available. If JNI is available the implementation will use the API within hadoop to resolve a list of groups for a user. If JNI is not available then the shell implementation, ShellBasedUnixGroupsMapping, is used. This implementation shells out to the Linux/Unix environment with the bash -c groups command to resolve a list of groups for a user.",security
hadoop-common,hadoop.security.dns.interface,,"The name of the Network Interface from which the service should determine its host name for Kerberos login. e.g. eth2. In a multi-homed environment, the setting can be used to affect the _HOST substitution in the service Kerberos principal. If this configuration value is not set, the service will use its default hostname as returned by InetAddress.getLocalHost().getCanonicalHostName(). Most clusters will not require this setting.",security
hadoop-common,hadoop.security.dns.nameserver,,The host name or IP address of the name server (DNS) which a service Node should use to determine its own host name for Kerberos Login. Requires hadoop.security.dns.interface. Most clusters will not require this setting.,environment
hadoop-common,hadoop.security.dns.log-slow-lookups.enabled,FALSE,Time name lookups (via SecurityUtil) and log them if they exceed the configured threshold.,security
hadoop-common,hadoop.security.dns.log-slow-lookups.threshold.ms,1000,"If slow lookup logging is enabled, this threshold is used to decide if a lookup is considered slow enough to be logged.",security
hadoop-common,hadoop.security.groups.cache.secs,300,"This is the config controlling the validity of the entries in the cache containing the user->group mapping. When this duration has expired, then the implementation of the group mapping provider is invoked to get the groups of the user and then cached back.",security
hadoop-common,hadoop.security.groups.negative-cache.secs,30,"Expiration time for entries in the the negative user-to-group mapping caching, in seconds. This is useful when invalid users are retrying frequently. It is suggested to set a small value for this expiration, since a transient error in group lookup could temporarily lock out a legitimate user. Set this to zero or negative value to disable negative user-to-group caching.",security
hadoop-common,hadoop.security.groups.cache.warn.after.ms,5000,"If looking up a single user to group takes longer than this amount of milliseconds, we will log a warning message.",reliability
hadoop-common,hadoop.security.groups.cache.background.reload,FALSE,"Whether to reload expired user->group mappings using a background thread pool. If set to true, a pool of hadoop.security.groups.cache.background.reload.threads is created to update the cache in the background.",security
